X	Y	V_x	V_y
-2.75202	-0.37688	20.15418	-17.93450
-2.75000	-0.37867	20.15432	-17.93448
-2.74799	-0.38046	20.15446	-17.93446
-2.74597	-0.38226	20.15460	-17.93444
-2.74396	-0.38405	20.15475	-17.93442
-2.74194	-0.38584	20.15489	-17.93440
-2.73992	-0.38764	20.15503	-17.93438
-2.73791	-0.38943	20.15517	-17.93436
-2.73589	-0.39122	20.15532	-17.93434
-2.73388	-0.39302	20.15546	-17.93432
-2.73186	-0.39481	20.15560	-17.93430
-2.72985	-0.39660	20.15574	-17.93428
-2.72783	-0.39840	20.15588	-17.93426
-2.72582	-0.40019	20.15602	-17.93424
-2.72380	-0.40198	20.15617	-17.93422
-2.72178	-0.40378	20.15631	-17.93420
-2.71977	-0.40557	20.15645	-17.93418
-2.71775	-0.40736	20.15659	-17.93415
-2.71574	-0.40916	20.15673	-17.93413
-2.71372	-0.41095	20.15687	-17.93411
-2.71171	-0.41274	20.15701	-17.93409
-2.70969	-0.41454	20.15716	-17.93407
-2.70767	-0.41633	20.15730	-17.93405
-2.70566	-0.41812	20.15744	-17.93402
-2.70364	-0.41992	20.15758	-17.93400
-2.70163	-0.42171	20.15772	-17.93398
-2.69961	-0.42350	20.15786	-17.93396
-2.69760	-0.42530	20.15800	-17.93393
-2.69558	-0.42709	20.15814	-17.93391
-2.69356	-0.42888	20.15828	-17.93389
-2.69155	-0.43068	20.15842	-17.93387
-2.68953	-0.43247	20.15857	-17.93384
-2.68752	-0.43426	20.15871	-17.93382
-2.68550	-0.43606	20.15885	-17.93380
-2.68348	-0.43785	20.15899	-17.93378
-2.68147	-0.43964	20.15913	-17.93375
-2.67945	-0.44144	20.15927	-17.93373
-2.67744	-0.44323	20.15941	-17.93370
-2.67542	-0.44503	20.15955	-17.93368
-2.67341	-0.44682	20.15969	-17.93366
-2.67139	-0.44861	20.15983	-17.93363
-2.66937	-0.45041	20.15997	-17.93361
-2.66736	-0.45220	20.16011	-17.93359
-2.66534	-0.45399	20.16025	-17.93356
-2.66333	-0.45579	20.16039	-17.93354
-2.66131	-0.45758	20.16053	-17.93351
-2.65929	-0.45937	20.16067	-17.93349
-2.65728	-0.46117	20.16081	-17.93346
-2.65526	-0.46296	20.16095	-17.93344
-2.65324	-0.46475	20.16109	-17.93341
-2.65123	-0.46655	20.16123	-17.93339
-2.64921	-0.46834	20.16137	-17.93336
-2.64720	-0.47013	20.16151	-17.93334
-2.64518	-0.47193	20.16165	-17.93331
-2.64316	-0.47372	20.16179	-17.93329
-2.64115	-0.47551	20.16193	-17.93326
-2.63913	-0.47731	20.16207	-17.93324
-2.63712	-0.47910	20.16221	-17.93321
-2.63510	-0.48089	20.16234	-17.93319
-2.63308	-0.48269	20.16248	-17.93316
-2.63107	-0.48448	20.16262	-17.93313
-2.62905	-0.48627	20.16276	-17.93311
-2.62703	-0.48807	20.16290	-17.93308
-2.62502	-0.48986	20.16304	-17.93305
-2.62300	-0.49165	20.16318	-17.93303
-2.62099	-0.49345	20.16332	-17.93300
-2.61897	-0.49524	20.16346	-17.93297
-2.61695	-0.49703	20.16360	-17.93295
-2.61494	-0.49883	20.16374	-17.93292
-2.61292	-0.50062	20.16387	-17.93289
-2.61090	-0.50241	20.16401	-17.93287
-2.60889	-0.50420	20.16415	-17.93284
-2.60687	-0.50600	20.16429	-17.93281
-2.60485	-0.50779	20.16443	-17.93278
-2.60284	-0.50958	20.16457	-17.93276
-2.60082	-0.51138	20.16471	-17.93273
-2.59880	-0.51317	20.16485	-17.93270
-2.59679	-0.51496	20.16498	-17.93267
-2.59477	-0.51676	20.16512	-17.93264
-2.59276	-0.51855	20.16526	-17.93262
-2.59074	-0.52034	20.16540	-17.93259
-2.58872	-0.52214	20.16554	-17.93256
-2.58671	-0.52393	20.16568	-17.93253
-2.58469	-0.52572	20.16581	-17.93250
-2.58267	-0.52752	20.16595	-17.93247
-2.58066	-0.52931	20.16609	-17.93244
-2.57864	-0.53110	20.16623	-17.93241
-2.57662	-0.53290	20.16637	-17.93238
-2.57461	-0.53469	20.16650	-17.93236
-2.57259	-0.53648	20.16664	-17.93233
-2.57057	-0.53828	20.16678	-17.93230
-2.56856	-0.54007	20.16692	-17.93227
-2.56654	-0.54186	20.16706	-17.93224
-2.56452	-0.54366	20.16719	-17.93221
